**ACTUATORS**
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 3 WALL NORTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 3 WALL NORTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 3 WALL WEST,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 3 WALL WEST,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 3 WALL EAST,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 3 WALL EAST,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 3 FLOOR,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 3 FLOOR,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 3 ROOF,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 3 ROOF,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 3 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 3 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 4 WALL SOUTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 4 WALL SOUTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 4 WALL NORTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 4 WALL NORTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 4 WALL WEST,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 4 WALL WEST,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 4 WALL EAST,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 4 WALL EAST,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 4 FLOOR,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 4 FLOOR,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 4 ROOF,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 4 ROOF,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 4 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 4 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 5 WALL SOUTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 5 WALL SOUTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 5 WALL NORTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 5 WALL NORTH,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 5 WALL WEST,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 5 WALL WEST,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 5 WALL EAST,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 5 WALL EAST,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 5 FLOOR,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 5 FLOOR,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 5 ROOF,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 5 ROOF,[W/m2-K]
Actuator,Surface,Interior Surface Convection Heat Transfer Coefficient,ZONE 5 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Exterior Surface Convection Heat Transfer Coefficient,ZONE 5 WINDOW SOUTH,[W/m2-K]
Actuator,Surface,Construction State,ZONE 1 WALL SOUTH,[ ]
Actuator,Surface,Construction State,ZONE 1 WALL NORTH,[ ]
Actuator,Surface,Construction State,ZONE 1 WALL WEST,[ ]
Actuator,Surface,Construction State,ZONE 1 WALL EAST,[ ]
Actuator,Surface,Construction State,ZONE 1 FLOOR,[ ]
Actuator,Surface,Construction State,ZONE 1 ROOF,[ ]
Actuator,Surface,Construction State,ZONE 1 WINDOW SOUTH,[ ]
Actuator,Surface,Construction State,ZONE 2 WALL SOUTH,[ ]
Actuator,Surface,Construction State,ZONE 2 WALL NORTH,[ ]
Actuator,Surface,Construction State,ZONE 2 WALL WEST,[ ]
Actuator,Surface,Construction State,ZONE 2 WALL EAST,[ ]
Actuator,Surface,Construction State,ZONE 2 FLOOR,[ ]
Actuator,Surface,Construction State,ZONE 2 ROOF,[ ]
Actuator,Surface,Construction State,ZONE 2 WINDOW SOUTH,[ ]
Actuator,Surface,Construction State,ZONE 3 WALL SOUTH,[ ]
Actuator,Surface,Construction State,ZONE 3 WALL NORTH,[ ]
Actuator,Surface,Construction State,ZONE 3 WALL WEST,[ ]
Actuator,Surface,Construction State,ZONE 3 WALL EAST,[ ]
Actuator,Surface,Construction State,ZONE 3 FLOOR,[ ]
Actuator,Surface,Construction State,ZONE 3 ROOF,[ ]
Actuator,Surface,Construction State,ZONE 3 WINDOW SOUTH,[ ]
Actuator,Surface,Construction State,ZONE 4 WALL SOUTH,[ ]
Actuator,Surface,Construction State,ZONE 4 WALL NORTH,[ ]
Actuator,Surface,Construction State,ZONE 4 WALL WEST,[ ]
Actuator,Surface,Construction State,ZONE 4 WALL EAST,[ ]
Actuator,Surface,Construction State,ZONE 4 FLOOR,[ ]
Actuator,Surface,Construction State,ZONE 4 ROOF,[ ]
Actuator,Surface,Construction State,ZONE 4 WINDOW SOUTH,[ ]
Actuator,Surface,Construction State,ZONE 5 WALL SOUTH,[ ]
Actuator,Surface,Construction State,ZONE 5 WALL NORTH,[ ]
Actuator,Surface,Construction State,ZONE 5 WALL WEST,[ ]
Actuator,Surface,Construction State,ZONE 5 WALL EAST,[ ]
